tweet,class
"cheating isnt good women hoes simply alternate nut user niggas cheat good women everyday , b .",1
user thats call white trash money,1
haha ill shoot bitch guess gun bi,1
seaside smell like stank ass pussy bruh,1
nicca say ballin ask em title n deeds wher clothes n keys,1
"user nosey ass hoes , hate em . always finding shit cant find man date em",1
user bitch get yo duck ass shit,1
cavaliers league chosen one # game 5 6 decided officials #,0
user yass bitch yass user soon ?,1
"seems like user # canadianvalues ignoring reality , dividing weakening , # hate . # science # cdnpoli",1
real shit n stay chill shit besides niccas one chill wit,1
user user internet aint get transfered yet pussy,1
"sick preprogrammed # hillbots rhetoric enough , already unity , patriotism love fe",1
user bitch . im mad slapping,1
hell going ? ? # alligator drags two year old child # billionairemag,0
user see user tonight # 3fridaynights user # friday # pay,0
dont wear retainers cant right,0
user public place ya side hoes come outta,1
fathers special dai # congroutz 4 al fatherz # #,0
need step away twitter .,0
20 minutes,0
# tattoos gorilla simulator need adapt environment . need tear city . materia,0
user pussies # stb,1
hea # orlando right . truly imagine . could easily happened anywhere . (,0
"said cunt front old lady , kinda froze , yelled yeah tell cunt late life get adopted ?",1
"user niggaaaaaa , bitches trip hard nigga ? realize theyre gon na grow regret fool ?",1
# beautiful ceremony # rip user # orlando # pulse # massacre # peace # letitbe,0
# instaaoftheday buffalo simulation buffalo take vicinity homes . thi,0
user seen pic nigs robbing store . caption said ( protesting gos fergerson ) . lol . dont like pigs either wtf,1
happy reunited gorgeous lady  # girls # bihday # uni # heatohea,0
aww im looser keep loosing followers .,0
"user hey friends , leave suitcase hq funday ? im arriving early hotel check .",0
thinking throwing pussy back good throwing ya nut process,1
user tf bitch brain surgery aint tell ? ? ?,1
user bitch u fuck nigga,1
breen steward little broke steward little poop broke hea,0
yo bitch gaggin jet laggin,1
gone 2 days dont bitch ass miss,1
happen # theshield ring together tonight wait almost user next # raw,0
user pti know,0
happy monday # positivity # monday,0
waiting user understatement # bihdaypresent,0
im bitch sometimes lol,1
user user wtf bitches seen without,1
real bitches really hungry wont arguing bitches twitter straight flexin,1
"top , pregnant ass sorry hoe . aint never got money . even water broke . user # riptallt",1
user nigga talking bout school . ever choice bitch,1
"idgaf flat chested hoes feelings either , grown ass man nigga .",1
user pat martin gon na show yankees thing two james beard house tonight,0
"# universityofwisconsinmadison offering # problemofwhiteness course . theyre gon na blatantly , ? # snowflakes orgasmic .",1
little photo shoot nikki  # nikkibeach # nikkibeachmarbella # fashion # love,0
user lol hoe numbers,1
atm sibs ) # dreamgirls # dreamreso # unbiosibs,0
"happy fathers day  # celebration # love user cafe , veranza mall",0
user cant get # coldbrew ? # needcaffine # nocoldbrew,0
user eat pussy good cant control moans,1
user oh # god sneha looking photoi cant see u sad even photo,0
watch # dumpdrumpf # nothappening # never # gross,0
user yo follow back nigguh,1
im seeing freakin user tomorrow  last time saw nyc user 1998 think,0
# dancing # tshi wordans,0
right criticize hea help . abraham lincoln # inspired,0
good shes ghetto thug user fpd arrested user street . # ferguson,0
retweet spam faggot user dick going,1
user dumb cunts like make sad served war wouldnt .,1
user daughter makes wasnt hoe age 1825 u roll tonight,1
user # fathers day,0
happy bday user love nigguh # livinglegend,1
# people arent protesting # trump # republican wonthey trump fuhered,1
user try squeeze,0
user user lol love ; ) little bitch,1
bitches dumbbbb,1
user retweet ur dick choke bitch,1
yesterday around good day . great day . saw lot people havent seen got high giraffe pussy # easter420,1
# pride # morework2bdone istanbul bans pride parade safety reasons,0
smiles # dimples # smiles # blonde # eyes # greeneyes # teeth # smile,0
give hoe oscar stay acting crazyy,1
"user # allahsoil fear mongers become loudest voices , knows could happen .",1
1,0
"happy monday , even stas raining tokyo # monday # morning # yoga",0
weont get head hoes wit overbites,1
user 3 3 listen beautiful best friend user singing amazing voice 3 3 3 3 2,0
supposed get 6 pack cant stop eating pizza  thoughts,0
"realz , jersey preorders ?  user user # isitoctoberyet",0
whoops # aspie shouldnt allowed go # stainedglass shop .,0
sounded like god damn bear fell trees . might time stop pissing outside user piss bucket bitch .,1
user enjoy fathers day know someone lost father ? # blackfathersday # death .,0
"clock hea happy 55th boy george early 80s , england expoed new wave and .",0
"nigga public new young bitch , rubbin face reacts ww3 ? probably aint even seen drake",1
lol told brother imma good christin girl said nah u wholesome hoe lmaoo bogus says shit like dat mean af,1
want hand fed # puppy # dogsofinstagram # treats # family,0
"user feel got ta party every weekend entertainment , ima assume embrace partaking hoelike activities",1
dwight couldve instead ugly young hoe,1
user cuz know playing witchu aint call yo mama bitch say yo brother ugly af ?,1
sound retarded learning quickly user,1
user body thought wed get extra hr sleep brain decided wake 2 hrs earlier . brains bitch .,1
user say nigger love,1
# best friends # share # crayons # color # together # friendship,0
user dont ever understand adam sandler ever appealed meever .,0
"user saw black nra skit . vile . youre funny . fan , anymore . # cunt",1
user user dont forget got ta take trash need milk.and spermicidal lube,0
watching janis joplin documentary . really didnt know much .,0
"user ones hope , succed easily",0
user got u bitch,1
"tf bitch class wearing brewers shit football season , , , ,",1
user arrived today lets get staed,0
"user yeah . people , women , laff set apart men . love real niggas niggers .",1
wayne brady gon na smack bitch ?,1
choose life wisely n # lovelife,0
black dynamite hoes gone ? dick harder slavery wallslides,1
user ungrateful bitches .,1
# bihday gab kamanzi.all bestteam # power # praise blessed it,0
dis one sexy bitch,1
user bitch must stopped,1
user want make today ? something nice someone else .,0
bitches broke instead go get quick go ask somethin,1
user thought problem # oreos,0
beliveaueric found perfect picnic blanket ahhhhh cant wait use,0
real nigga need real bitch . somebody chill .,1
user straight bench # ned # worldcup2014,0
"big ass wasp flying round bus , dike bus driver stops bus , grabs bitch wings , throws window",1
user user user user user google expanding censorship operations,0
"say hoes ou , even im hoes , tell em",1
excited side cuain tonight . looking forward seeing user broadway # chicago,0
wellmannered grandmother impresses google # grandmothers # polite # manners,0
user cant please everyone . shouldnt . nothing good comes people say faggot insult,1
user aye hoe,1
aint fair since like 8 havent wanted go since either reason . many niggers,1
"morning little guys , see ya later",0
ready charlotte 49ers camp saturday red # new sta,0
user user user speaks volumes peoples priorities,0
user high school er body catch hoe lmao,1
cute potato bin vendor 01 79.00 # shopalyssas # upsideofflorida # shoplocal,0
user give shoutout bitches b / c hustlas,1
"# real user user user user dont tell gf hoe , im happy .",1
turn turn wheres bitches,1
bitch lrt,1
happy got paycheck early 4 days  # adventureawaits,0
"user tweet wasnt really . shoe fits , lace bitch wear .",1
school days . .,0
shit niggas dont recall happening # depressing,0
hahaha dumb bitch,1
user females think dating pussy cute ? stuff make pussy ?,1
user go gulls . first grade cracker . physical,0
"user kindly fuck , like said weretwice sound like little bitch.bitching fuckin stalker",1
"user hope youre late get # booking # musicbooks , # dundalk # louth",0
user user bitch lying messy yess,1
bitch user really awake slumber help pick avatar tho,1
ablonde # hot east european # woman ready love please man make,0
live # objective ; lives # different yet .,0
hoe cause boyfriend want ? scary cause dont talk shit like yall ? ugly cause dont like ? grow,1
google analytics workshop stas one hour entirely sold # googleanalytics user,0
user hrcp said far year 229 women lethal victims honor killings one makes 230,0
user 1111 . wish would stop hoe .,1
user next stop user france ( 3jul ) # wearetri user,0
gone soon user .cut prime career # ripchristinagrimmie,0
tennessee 5 days # graceland # bearails # hiking,0
# take # pictures . # photo # foto,0
know ill buying stuff user getting business . # bargins # superdrug,0
user current mood # aschool # college,0
user took hoe burger king,1
user new nigga hipster hypebeasts love faggot ass bright colors nike keeps giving want smh,1
thinking bout oysters gator bait tho,0
nice receive cards appreciation love making people happy  user # wedding # love,0
user user youre fucking queer,1
"user user user user user fuck lil bitch , prolly got ta lil dick",1
"irritating reading ppl bitch abt smthng , yet offer shit evidence even support slant . simply complaining easy part .",1
one followers sell pussy hop twitter like got morals class,1
god damn zebras every virginia possession whistle blows geeze .,0
riding wit old dude dis nicca bangin # freshprince # summertime,1
# people # cruel,0
im finna quit bitch irratating frfr im sick shit let start job huntin,1
user .like seat . also dont assume woman contributes sex convo means pussy open f,1
yall cool cold chasing hoes,1
user nothing hate sneaky bitch,1
user thought beyond retarded & scary,1
user fine walk bitch,1
went shift last time long . # movingon # byedenton,0
see back # garden grows . 50x6 lush # flowers makes nothing # spring,0
im driving drunk cause bitch drove drink,1
fathers day daddys worldlove u .,0
lol user user need know pussy like one time fine,1
user fag back,1
bitch must lost,1
press would believe bike racing dangerous ? thoughts go victims orlando,0
user user user pm need boss ill see got . also 3 wallchas,0
breakfast someone fun late night ) # weekend # pay # fun # breakfast,0
"at # park reading # books # friends , wish # friday  # together",0
"figured hoes wan na play games , fuck em leave em )",1
user 4 days book published # blessed,0
"shid , thought legal beat yo hoe .",1
user death end assume story  # friday,0
user suppose keep hoes finding,1
user love seeing # sexy # customers user,0
bitch said one lmaooo hate,1
user thankful strength . # thankful # positive,0
headache bitch,1
"watch user , dj esme coming guetcha # outro though # baby # music # kwak # kwak",0
whops user yardie . go smoke blunt tell nigga come . stressed,1
ummm still # day4 # silenttreatment,0
good luck ),0
user finally . normal healthy celeb body,0
aint neva gave fucc bitch boy,1
user wondering next book series ? # bestbooksever,0
man need  mycaptainamerica  miss  # tranny # ladyboy,0
major kind people arent talking enough via user # environmental # justice,1
user hate bitches havin big gap boobs shit look ooberly childish,1
disabled baby would kill baby saying ? sis father # day,0
user dont understand hoes say getting money tf twitter childish shit bitch 20,1
user shutup thirsty hoe,1
im ghetto ass accent shy hell like,1
winter weather gon niggah feelings .,1
"user yes lets , suppoing openly , # prowar # anti # islamic , # homophobic , # rapist , advocates , # hypocrite",1
sharkeisha isnt dead youre retarded lop,1
"user happy new year , says # fascist pennyloafer neck usa . # notrump # nokkk",1
"people bring children salon , mexican bitch needs animals leash real .",1
"vegas ready , 10 days go    # vegas # 10days",0
user video cfl lb solomon elimimian trash talks opponent halftime interview,0
"happy fathers day fathers , appreciated . # fathersday # dad # appreciation",0
friday im love  # tgifridays # viernes # fluyendo # snapshot,0
user havent sex forever . bitch could send emoji id catch nut,1
got super worked stressed realized tomorrow last day skool,0
user gone nigguh,1
tell lookin ass niggas . ima crazy bitch thats need know .,1
lame azz napk nigga always talking bout reason always yellow tape upk turf,1
"user fuck ill make feel bad . fuck guys , ill call hoe . fuck , ill thi",1
"user nigga gone nigga im sorry , hoe gone hoe regardless .",1
crop top high waisted shorts way look like underage cunt lmfao,1
user weve used word cunt almost 3 times . beautiful .,1
celebrating existance end summer semmester user  # girl #,0
sad ppl venezuela,0
user user bitches dick look im fucking beautiful,1
next user bracelets . # desdelaraiz # handmade # color # joy # hechoamano,0
first game first play . dat fuck bitch,1
user thanks  im # twitter,0
user user user fabulous day # well organised # greatday,0
booked days shepherds hut user looks wonderful . # glamping,0
user yall bitches dont know friends,1
every spic cop killed . pigs got job get even white people never anything .,1
kind person one wears beanie drugs likes fuck bitches,1
"give chance listen , see fuss",0
finisher couch potato one day lol # finisher # proud # goals,0
# goodmorning  # neymar # playing  # goodday # felling  . wish good day my,0
user user really fag im liking video,1
fathersday # fathers # day # god #   # tony # . # smith buy things happ,0
user father man expects children good meant fathers day,0
"user # praying affected # orlando # attack . matters whether gay , matters h",0
"every bitch love , bank account overdraft",1
user lmfaoooo yooo lost elevator pass cant even share .bitch wants go get another one even tho knows,1
hope im challenge,0
user user sure want give free pass every border jumper country two whats wrong,1
hate kids class always complaining bitch / douche teacher,1
insomnia # notsleep # damn # rendeime,0
user ignorant # liberal # pcculture,0
"right carrie , went last time look said , , please mum , wan na go . .",0
user 5sos trash,0
follows ppl met justin,0
"user man get around lot , bunch hoes .",1
"hey , saw youre training fan , ask check free app , known training app store",0
user pnd vocals trash lmao,0
user great park totally disorganised one # poaventura # whatajoke,0
# ffuser user user user user user  weekend,0
user lol user kids act redneck oviedo,1
user cause everyone loves yo bitch ass rite ? yea sure .,1
a day without laughter day wasted # # selfie # smile,0
sheryls baby # mumtobe # itworks # bunintheoven,0
israeli regime roots racism # gaza # palestine # israel # bds,1
usually night im alone.i havent hug almost two months . # needhugs,0
user user psh ( sexy ) bitch got ta sexy voice easily get shit goin,1
lets get money boring together baby .  # instacool # beauty # love # makeup,0
", would like say stay # situations shappy # optimism .",0
user two favourite people # wedding # hendersons # love user hall,0
refined . # iam # positive # affirmation,0
user touch swag . wish could . user look fly . look good . user momma ho,0
user get twitter fag,1
user fucking ignorant u talk lot shit someone dont wan na fight mama raised u bitch huh ?,1
stage ready # summer,0
"user evolutions got serious public relations problem , even among welleducated . need destigmatize fact",1
user want hear truth looking hear makes feel warm fuzzy inside ? choose truth,0
bitches always think somebody want little coochie lol chilling dont exist nomore ? iont want yall hoes,1
"working hard bitch today , deserve reward .",1
"ex wan na work , bitch try yoga",1
nothing harm much thoughts unguarded . # motivation,0
soggy happy rhinos # win # wet # alaw user user user,0
wrong fa laughin dem niccas 1st 48 cryin n interrogation room,1
user hoes really would sit face act like puttin world relationship fuckin whole,1
user nooo ambers supposed kill fag,1
user jus need go brazil get bad brazilian bitch jus relax,1
goodmorning penny asf,0
friyay celeryman happy . happy ph balance . # friyay # health,0
happy 25  bihdaytome bihday # happiness # glitter,0
better pipe pussy user wth even mean ?,1
ya titties lil bitch ?,1
u follow ur frnd nd doesnt follow u back . # comedy # confused,0
side bitches winning son .,1
talking hoes bro nem ?,1
user nigga kanye looking ice cream like hoe ass ice cream aint cold kanye,1
selfie # love # momentos,0
monopoly fucking stupid fuck dumb ass game bitch ass shit,1
got rejected three times tonight,0
well done ? coon .,1
user new avi ) two yellow bitches user user,1
user # fathersday say love dad right # sanya # whererefreshingbegins,0
user try good mood builders # tamigreenlifecoach # positiveparenting mom,0
user user damn bitches middle school look grown af nudes,1
user bad business .,0
# tattoosleeves gorilla simulator need adapt environment . need tear city .,0
# teamlove # thursday . . kind .,0
"montana , wisconsin , maine , new hampshire , north south dakota , wyoming . places move exhoe happy .",1
"user might 10 days late , never late celebrate ( late ) # nationaleggday",0
fuck u 2 bitch call cops,1
user hoes woozy,1
15 things incredibly # people,0
# nbafinals user # stoked watching game u think user put away ? ? user ? ?,0
phillip rivers look like almost wants call dude nigger bad play,1
update user # analytics # skateboarding # opensource,0
mind happy life # marrerocollection # quote # behappy # behappywithyourself,0
sad police even brainwashed rest . # truth # wakeupamerica,0
# good # life collection moments # behappy # smile remember everything,0
"user melo bitch leaves , well lebron jus bitch regardless lol",1
type trash trump paladino attract . # dumbfuck,1
love lay bed comfoably watch lightning window still # enjoythelittlethings,0
nothings attractive happy  aurore mourette # quote # nothing # attractive,0
user lmao bitch know stand everyday,1
red bitch dark skin friend callin talkin bout come get,1
"far away , ship taking far away . # muse # drones # helsinki # crazy # music",0
user user shat user deltas smell pussy,1
user user give credit lil bitch,1
freak hoes,1
"need good pussy , fuck",1
"walk little , friends take tonight 5 days locked house",0
user user getting prepped delegates arriving # smaccdub # smaccforce # foam,0
fat fucking funky nasty ass hoes,1
user cavs wayyyyy  see wassup game 7 # cavsnation,0
# babies street dogs roxie pink # bouncingbaby,0
day 168 2016 look whos happy pasalubong . user # vr # bobovr,0
bitches dont eat meat likely develop mental illness,1
user user user ew shes ugly hoe,1
biggie always flyest cunt rap . # biggie,1
keep filling side,0
user bruh wont happen cuz see big bitch strikes .,1
user user user show store tomahawk steak run oxford street naked aka user # nos,0
user kisses  user photo # dankennedy # kiss,0
waiting see wonderful user live qpac # woot # livemusic,0
ive sneak peek content looks great .,0
# marathon bull dominate bull direct whatever want .,0
smile dont know upset know ur mad # staypositive # smiling # # retweet,0
user dying light village green / town # antisemitism # hocoschools # columbiamd # hocomd,1
sweat pussy somethin new,1
"plurality israelis happy yisrael beytenu govt , liberman defense minister mor .",0
"idgaf thats sounds illogical , twitter bitch .",1
bitches peekin,1
bond hoes money bourne kicked ass gadgets hawk always let bitch die,1
tell pussy mineeeee,1
must retarded user user quote thirst trap,1
"user kim kardashian baby.in important news , took trash last night .",0
orlando love ones,0
dont hoes,1
channel sir,0
havent ate fast food / home cooked food 3 days nothing junkfood,0
hello math students # exams # math,0
anyone right 2 question foreign parentage . mccain questioned accused democrats . user user,1
omg dot im sure thats give away free bitch,1
user teabagger dunces want eliminate education together groom teabag voters . lol. # thedumbestteabagger,1
user user user user user check . # joburg never .,0
bihdaysway  bihdaysway  bihdaysway  bihdaysway,0
user omg bitch go sleep coincidence huh ?,1
user haha alright well got ta get see bitch haha youll scare shit outta already,1
at touch love everyone becomes poet. plato # love # life,0
user user yesss one ooze nigguh,1
rainy days sundays # pouringrain # rain # weneedit # perfectbedday /,0
user fr bribe people hang w,0
ive met love much # blessed,0
"lawd , got many enemies , , , bitches dont even know",1
user user user stop explaining yo self sorry ass bitch dont nobody care eww sound spicy,1
"user ion fb , niggas twitter aint worried , ig nigga foe everybody try bffl got hoes",1
bomber # jackets back couldnt user shows us top ones # clothesshow,0
user cant take ones bitch .,1
protected state utah . fear queer couples forcing churches marry . legally .,1
whats worst could happen ? # positive # positiveattitude # teamboombaby # ftf,0
happened # humanity,0
celebratin hatin bitch .,1
"user cant like let miss ya sometimes bitches take overboard shit , said give time miss yo ass",1
user user wasnt hoe azz boi im ( sniff sniff ) sorry ( sniff sniff ),1
user wan na skinny fit . sike thick bitches got going . # ass2fat # thundathighs # jellyrolls # imstillsexy,1
user video entire media likely mock . crybaby,0
happy fathers day dad l v e u u c h  . . fathersday,0
user onea yall btches gon end dead screen shot thinkn sht funny.aint many niccas gon laugh b,1
# grateful for # gratitude # happiness # affirmations,0
"girl tried argue whilst drunk , hes done . shut fuck bitch im nasty cunt whilst drunk # sarry",1
user sun follow 4 bitch cant shit stfu faggot,1
user pussy pussy pussy marijauna wannnnaaa,1
playing nils frahm peter dead piano # melancholy # melancholymusic,0
user didnt pull bitches elementary school . parents couldnt afford 64count color box sharpener back,1
# piqniq # chicago # tootalltom # nerdstothemax thanks user,0
hope family fabulous day x,0
user yankees gave win . ) happy birthday,0
user hoes lying olivia get bottom . # scandai,1
"user hoes women , like center attention",1
happy fathers day # fathersday # folklore user llc,0
user nah lem chill love bitches,1
aint cuffing bitch thats posting sex gifs maybe im different,1
user always waste time irrelevant bitches,1
"user user user sorry ethnically cleansing east jerusalem bethlehem , hey .",1
user nah hate white people since looks like dyke user think ended racism,1
user user user user messi trash,0
user hoes tbh highest keys,1
happy  # happiness # minions,0
sometimes life better thought could # june # love # la # live # life user,0
user hahahhaha mad bitches,1
84 days # lodestar16,0
looking . # positive # today # love # smile,0
user bitches stand like ? wanted mjs smooth criminal video bad,1
anyways never trust bitch dont snitch unless looking az 1 ditch,1
user dylann roof face new competency hearing # ignorance # hate,1
finally watching pride prejudice zombies .,0
uchiha . user sasuke probably biggest faggot time,1
thank comrade user erica avenue ? making stop user find doesnt hire indian domestics,1
user amazing 2nd day trip brussels user # yafinbrussels,0
user warming # euro2016 # france # frarou,0
user comes guy whose sole qualification cm lucky sperm ),0
user niggas pussy shit,1
21.99mmk dasein round collection sunglasses wednesday,0
user drum major guard captain,0
user main bitches saying hate send pic ass nigga answering every single one dj ricearonis request,1
user raising asia lil bitch could dance bruh,1
niggers cheat ya gfs ? smh,1
user white supremacy joke ( agree ) lying 2 wmn 2 get laid woh joking ? line thought user,1
user grown . mature . pretty . etc . goes window bitch play .,1
dis shit birds 2,1
"user didnt come yesterday , drama costume everything",0
user serious problem . even salvadoran sposcaster bias mexico promoting  hate,0
user bitch let hit ill leave crippled cuh,1
racism america kill obama muslims welcome signs new mexico draw criticism,1
got hella hoes,1
put ring  # proposal # shesaidyes # love # instalove # dinner # bridetobe,0
like bitch,1
user . e n ? ready big debut tomorrow ?,0
user great day,0
least honest thats wild ass shit,0
user via user fathersdayquotes,0
pay house  # lovethishouse,0
user fathers day legend enjoy ur special day .,0
user omg bitch  knew gone lil kim actually look like music video,0
"flower think competing next flower , simply blooms # beautiful",0
user dont even contacts,0
couple sex www.drunk singapore girl get fuck,0
"# invited2jive another great local tweet # tf9 , # shropshire . share jivemap",0
niggah better remember bring sperrys,1
"twitter like friend sometimes forget visit , calls acts like bitchy mcbitcherson side bitch .",1
user user user user user user user best time,0
user bitch everything ?,1
todays modern politically correct left repressive hell fahest thing liberal get,0
lethal bird flu cocktail sent lab accidentally went unreported cdc,0
user losing . peaked . # orange,0
survived # gym # fasting  # ramadan,0
"finally impoant project mine kept busy lately finalized , begin things .",0
user nigga said woke bed fulla bitches aint een fuckin idc shit bout 10x harder,1
user wan na sex mom fuck right pussy came damn got hacked like fuck,1
user message homies.dont blow good girl . hoes childish.in end nothing either .,1
user # cleveland # browns fans going bitch blow win week . # believeland # gobrowns,1
user reminded hate . # bitch # cantstandyou,1
thankful dreams . # thankful # positive,0
user . wish neither user # darn,0
user wen u look liek trash n sum1 complimentz u,0
see # coachella weekend 1 fellow flower children.  # coachella2017 # newbie,0
beautiful event june 25th 2016 tilburg,0
user theres pussy makeup ?,1
# msm wont tell truth citizens apathetic little digging .,0
user # flashbackfriday racist democrats falsely accuse latina nominee raid business embarrass gop prez who,1
pull ex make bitch mad,1
pay # dress # black # blackisbeautiful # igers # mood # model user park,0
# nomoneynohoney # love # summer2016 user beach,0
# aloha   oppose # fascism # warsforoil,1
meet sub whos youre perfect match . # domme,0
user # reasonsiunfollowedyou unfollowed first bitch,1
youre ugly anyway hoe . sit tf somewhere,1
user rather fukk bitch dat fukks eryday den fukk dat bitch try hol n cold whore n da sheets cnt een look,1
hoes losers need hit gym,1
well deserved love lots thank everything,0
"user long , thats life about.just pure happiness )",0
"user yall save hoes , id ratha save paper .",1
"user needy , clingy men bitch issues",1
bihday cake banana split instead  # madebymylove # bihay # cake # banana,0
"user got hit today im back , bitches dies",1
love girls pass guys want something real treat right guy uses em cuz bitch,1
user foods # healing body # doplants # healthy,0
design presentation sta # innovation # mierenzuur # evoluon,0
told da nicca str8 face whateva got goin want inguess felt type way bout,1
# mucky # teddy looks,0
# angrybirdsmovie kids # free,0
got 15k followers n bed sheets last month bitches confrused ( user ) voice,1
user long kent coast # vw show  user user # birchington # quexpark,0
user got hoes got hella hoes,1
things dont go way im total bitch .,1
natural crown . # smile # fun # instahappy # sohappy # happier # feelinggood,0
# pescatarian . happy customer happy us ),0
falls pussy like quick sand,1
shut bitch . im trying sleep,1
"user user like 58 , needs to1 . hoe . 2. im 510 ( breaking11 ) 3.suck dick .",1
"user im tired corny vines , ugly faces , stupid voices nigga shes sexy",1
charlie horses suck ass # ouch,1
"user youre killin man 3 conservatives racists , like nbp hate honkies .",1
ferrero . king sundaes # ferrero # king # sundaes # diner # desses,0
"user hi mom , last night cunt slapping texted grandpas bypass , sorry didnt get back",1
cant wait watch conjuring 2 .,0
long # avivatw2016  user,0
cousin bird screen twitter cousin poke thats facebook,0
early bitch driving denton omg move already,0
absolutely piss . # replacyclay # maga,1
car wash happy ending # carwash # carcrashes # car # nofilter # dutch,0
angry man sunshine # wherearewe # noidontaskfoheway # bad # lovely # flowers,0
niggas bitches hoes bitches ion see difference,1
passion ? # healthy # wealthy # joytrain,0
right hand get niggas gon remember tru loyal pussy,1
dont acknowledge hoes .,1
bitch ass arod shorty dont hit back,1
user fvck friends fvck hoes,1
user user bitch .,1
johnny punk bitch doe,1
inbed eating left poppadom . # livinthedream,0
im sippin hot tea bitch,1
"look yall makeup bitches , lookin like ghost ya wake bitches",1
user b day sweet johnny,0
im excited cant wait see user weekend memphis # ready # enation user,0
# nationalroseday,0
user looking forward afternoon,0
"animal crackers fuckin bomb , yo",1
user fathers day gregg pray nice day.you truly deserve god bless always,0
user yeawhat maidana ? made greedy faggot loser . atleast broner black .,1
mmm still hoe,1
happy sunday . # mydessespoon # sweetenmyday # nolimits # indulge,0
user loud bitches annoy,1
user user exotic bitches exotic things hoes aint loyal,1
user hoe good,1
image via hea # # loveit # magic.,0
monday twitter user queen,0
user user crazy bitch,1
sweet family stay user user user # lovemama # lovepapa  user,0
green grass tree trash .,0
user user user user user could died called mom bitch lmao,1
user real gangsters knoww nate aint never loved hoe,1
"oh , graduated college one week   # college # graduation user",0
id eat,0
"people donate plasma feed drug addiction . donate get money , save lives . whaddup bitches",1
user idk lets redneck shit . ask samuela .,1
user dont u end us monkeys ? u hate us better crackers love . deep u know weve done nothin 2 u,1
.user saturday  # libelle # annabeljones,0
user shit sorry hoe,1
user niggas dont knowing difference want believe bitch actually ugly,1
user user chatt niccas love doin dat brah,1
user alright bitch hope someone deletes life suck 30 dicks get hit 2 buses,1
"hoes hoes , monday saturday starting sunday church services .",1
# pcsjourney woh # passed # pedipt .,0
even make dresses straps cover ass ? us tits big ass . settle trash bag,1
love youuu,0
2008,0
fuckkkk faggot commie,1
highest happiness eah happiness marriage . william lyon phelps # wedding # love,0
dont trust bitch . dog em,1
bet bitches trying set,1
could imagine day # linkedin engineers forced use # windows10 laptop,0
"user need man , pussy boy .",1
"user bitches aint shit pussy greatest vice love smokin weed , hate advice",1
